Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeTest_E2E_LeedOnline,Chrome 72.0.3626.119,,2019-03-05 12:17:23,2019-03-05 12:22:48,5m - 24.271s,PASSED
,,,,,,
Test Cases/SmokeTest/TC_Campus_Registration,Chrome 72.0.3626.119,,2019-03-05 12:17:24,2019-03-05 12:18:51,1m - 27.646s,PASSED
runWithCucumberRunner(testRunner.CampusRegistrationRunner),Chrome 72.0.3626.119,,2019-03-05 12:17:24,2019-03-05 12:18:51,1m - 26.975s,PASSED
,,,,,,
Test Cases/SmokeTest/TC_Project_Registration,Chrome 72.0.3626.119,,2019-03-05 12:18:51,2019-03-05 12:20:55,2m - 4.038s,PASSED
runWithCucumberRunner(testRunner.ProjectRegistrationRunner),Chrome 72.0.3626.119,,2019-03-05 12:18:52,2019-03-05 12:20:55,2m - 3.882s,PASSED
,,,,,,
Test Cases/SmokeTest/TC_Project_Verification,Chrome 72.0.3626.119,,2019-03-05 12:20:55,2019-03-05 12:22:47,1m - 51.369s,PASSED
runWithCucumberRunner(testRunner.ProjectVerificationRunner),Chrome 72.0.3626.119,,2019-03-05 12:20:56,2019-03-05 12:22:47,1m - 51.276s,PASSED
